"","x"
"1","good special club hodgins ing"
"2","gauthier term tree respect candidates"
"3","service centre plus québec days"
"4","pontiacs photo period got tender"
"5","sunday school quyon council rev"
"6","time fort friday main canadian"
"7","page sale renfrew street christmas"
"8","campbell’s officer plourde brown energy"
"9","local scored assisted sociale calves"
"10","council arc class period trail"
"11","school open report schools park"
"12","game said scored night scoring"
"13","december kings panthers merry deer"
"14","votes received seat thank automatic"
"15","crs moved teachers list it's"
"16","mrs crs ward won worship"
"17","nov lake lions second weekend"
"18","says fax election period oct"
"19","says fri bakker sun arc"
"20","government tuesday campbell’s cette minister"
"21","won kim ward seconded elliott"
"22","choir campbell’s site training health"
"23","prize bursary plaque lionettes mccann"
"24","save pat shawvllle schoular glass"
"25","motion study election bible resolved"
"26","equity road air war police"
"27","mrs memory seconded trudeau municipale"
"28","november pontiac quebec bay saturday"
"29","farms game john says cent"
"30","municipality students need visiting lead"
"31","home phone public work john"
"32","shawville new day year meeting"
"33","shaw ville fiddle corridor don"
"34","novembre mary opened chris truck"
"35","fair arena holsteins increase paving"
