base url,year,month,day,weekday,Federal Election, Provincial Election, Provincial Referendum, Municipal Election
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/06/07/,1883,06,07,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/06/14/,1883,06,14,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/06/21/,1883,06,21,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/06/28/,1883,06,28,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/07/05/,1883,07,05,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/07/12/,1883,07,12,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/07/19/,1883,07,19,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/07/26/,1883,07,26,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/08/02/,1883,08,02,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/08/09/,1883,08,09,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/08/16/,1883,08,16,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/08/23/,1883,08,23,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/08/30/,1883,08,30,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/09/06/,1883,09,06,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/09/13/,1883,09,13,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/09/20/,1883,09,20,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/09/27/,1883,09,27,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/10/04/,1883,10,04,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/10/11/,1883,10,11,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/10/18/,1883,10,18,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/10/25/,1883,10,25,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/11/01/,1883,11,01,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/11/08/,1883,11,08,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/11/15/,1883,11,15,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/11/22/,1883,11,22,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/11/29/,1883,11,29,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/12/06/,1883,12,06,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/12/13/,1883,12,13,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/12/20/,1883,12,20,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1883/12/27/,1883,12,27,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/01/03/,1884,01,03,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/01/10/,1884,01,10,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/01/17/,1884,01,17,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/01/24/,1884,01,24,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/01/31/,1884,01,31,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/02/07/,1884,02,07,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/02/14/,1884,02,14,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/02/21/,1884,02,21,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/02/28/,1884,02,28,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/03/06/,1884,03,06,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/03/13/,1884,03,13,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/03/20/,1884,03,20,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/03/27/,1884,03,27,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/04/03/,1884,04,03,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/04/10/,1884,04,10,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/04/17/,1884,04,17,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/04/24/,1884,04,24,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/07/03/,1884,07,03,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/07/10/,1884,07,10,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/07/17/,1884,07,17,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/07/24/,1884,07,24,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/07/31/,1884,07,31,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/08/07/,1884,08,07,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/08/14/,1884,08,14,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/08/21/,1884,08,21,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/08/28/,1884,08,28,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/09/04/,1884,09,04,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/09/11/,1884,09,11,Thu,,,,
http://collections.banq.qc.ca:8008/jrn03/equity/src/1884/09/18/,1884,09,18,Thu,,,,
