"","x"
"1","une plus dans est vous"
"2","centennial display fair tlx tickets"
"3","august september sept fair horse"
"4","friday united high thanks month"
"5","wood cattle quality tractor agriculture"
"6","county number french committee government"
"7","champion class october won fair"
"8","january december christmas february game"
"9","service rev wednesday campbell's old"
"10","council moved present seconded motion"
"11","bedroom building water oil acres"
"12","apply oil stewart car tenders"
"13","quebec lake house children otter"
"14","anniversary congratulations trailer ville offer"
"15","october november nov seat election"
"16","end tlie shewville ville shaw"
"17","rent evenings products wilson credit"
"18","april march game easter spring"
"19","june july summer anniversary picnic"
"20","bride wore groom length pink"
"21","shawvllle notes radio automatic cleaning"
"22","québec tout luskville rue québécois"
"23","quyon monday coulonge low notice"
"24","ond showville ore boy coll"
"25","birthday price photo team trophy"
"26","news show national air mary"
"27","mrs shawville phone sunday bay"
"28","meeting year sale held special"
"29","programme works nuclear cours pieces"
"30","pontiac school new board wanted"
"31","p.q proposed showville energy jox"
"32","renfrew car sales radio door"
"33","tel canada page people centre"
"34","schneiders car center celebrated celebrate"
"35","coulonge price door plus radio"
